user_id,umap_0,umap_1,umap_2,umap_3,umap_4,clst_se_act_chain_weekday_umap5d_size1000_sample200
00414dcc-9cb5-46f7-a7a2-5a86dd99af9a,10.149656,2.9012928,10.48236,3.8134284,7.2802444,0
004259d1-f8a3-42e3-a04b-fe32fa4ef28e,10.735184,2.9411154,10.574231,4.976398,7.2139425,0
00425b12-c86f-4003-ab2f-b6435ea270a6,10.465784,4.9920444,8.9270735,-0.19047034,4.564465,0
0043cc29-d90b-4b6b-a9ed-8d14811c7c9e,10.23274,4.4741855,8.603237,-0.18437973,3.4847806,0
00447597-d57d-4bd8-a83a-afa16e6b4b31,8.473455,2.1951187,9.052128,-0.7709018,8.005892,0
00451210-fd8a-4ec6-aa3b-fbcbf1e32919,10.649343,3.456337,10.140879,3.810218,7.0940595,0
0046a26c-1493-4897-ad2a-62ba92acc125,8.747369,3.331242,7.4979954,0.02834072,8.17163,0
0046caaa-2b8e-4d77-a972-40dce536aa52,9.611729,1.8299757,9.889431,-0.39521664,6.342801,0
00475c86-039f-442b-ae77-d310b3bc55b1,10.13865,2.7208865,8.271489,-0.96730167,7.7295594,0
0047f801-c510-48f6-aab9-4130e5cefced,11.505487,6.2068324,9.865096,0.24246188,5.253264,0
0048dfd9-6adb-48f7-adfc-38b83ef86929,9.702474,2.0773156,10.526159,2.6677873,7.6002245,0
00490b64-c506-4e08-a81b-084a33f9abf3,10.987691,4.3884525,11.373873,2.2578986,8.498744,0
004b1acc-d605-4a8b-a406-4a410c478716,10.233122,3.4881992,10.274388,0.24767782,10.021189,0
004bdc0c-b076-49e1-a0ad-042205214cf3,11.268785,4.4235916,9.445404,-0.72550064,6.7886558,0
004c89b8-46d7-47ed-a392-ca89e7c7bc96,9.738377,2.1582994,8.082003,-0.9580564,7.8829107,0
004c9004-780a-4542-aac8-7431af1b037c,9.386466,4.435685,10.082879,-0.593821,9.655806,0
004e7c55-ff39-4937-a2d3-79ab5c12aacf,9.387264,4.412112,10.121302,-0.98042965,9.478152,0
004f043c-0922-4bdc-a7f5-e9caa2b64f59,10.247881,3.1057405,10.311757,-0.013949148,9.906007,0
004f8ee9-9be9-40b0-a64f-4b00b018dfdb,7.9095984,3.1004362,7.3541026,-1.3042699,9.358671,0
00501caf-2a26-45a3-aa03-30f973f7ff51,8.977076,2.1588695,8.191721,3.1764748,7.56612,0
005054fa-76b0-4976-a567-c18ea9d9a18b,9.848769,3.9090376,9.861053,3.605973,8.351171,0
005095b5-981b-4074-a0ac-9c7805d43ac3,9.413096,1.9422354,8.452956,2.8197522,8.201655,0
0050c793-6dbb-47ae-aa3d-90bb06c06fc2,9.916902,3.827088,9.886807,3.6046224,8.287777,0
00516288-98ab-43d4-afbc-5758ac8576ec,10.1051655,2.9258838,8.515863,-1.2240824,10.480317,0
00520ed6-a799-48e5-a5a7-267151bff2df,8.224338,2.4474614,8.081542,-0.058075763,7.878588,0
0052786a-6c41-4774-aafb-7bc778daf365,9.828006,2.759614,10.874497,3.5204382,7.344702,0
0052e975-01e0-4d31-ac73-416a6e187609,10.281495,2.8161595,8.011801,-0.7652107,7.380462,0
0054e310-b19f-41cf-a18f-011ba9e2cdf4,8.99243,9.824342,9.017309,1.7183945,8.3399315,1
00551899-161c-4fb2-a0f8-5bf9b2925a3a,11.470455,5.576694,9.873639,0.06929632,5.7495832,0
005523e1-ec12-4e06-ad0c-4518a830e37f,10.134295,4.2243004,8.618158,-0.8751059,6.484994,0
00557d21-02c1-4237-ad1f-d11225a7419c,9.193344,3.9245822,10.017732,-0.8647938,9.379631,0
0056c87d-f4bd-40e7-ae6a-b3dfb07519c9,10.568036,2.7402442,10.424936,4.521685,7.2213554,0
005780be-197c-4539-a35a-29e238d8666f,10.088122,3.0701592,7.9313526,-0.25264642,7.5475593,0
0057cfe6-61ff-46af-a6e1-ee65e9e0f9bf,9.922651,9.859811,10.045566,1.0382062,8.360404,1
0057d71a-d655-4fd7-a876-59a863e163a3,9.27854,2.6204264,8.720389,0.54158366,1.3539469,0
0057e751-31c1-41b5-a8a4-d68286a0554d,9.521534,10.204016,9.531001,1.5145873,8.3515215,1
005854ee-2916-4f92-ac48-3f309270a242,7.7998557,3.3009603,7.5338726,-0.73645186,9.590518,0
00587ba1-0a16-4802-abdd-88718b78bebe,10.780103,4.196846,11.504494,2.4287143,8.885943,0
0059498f-b7f6-42b7-a24d-2d51a69754df,10.147722,3.5614998,8.984343,4.20048,6.3713303,0
005aee00-4987-45a9-acc8-eaa2c21cad33,9.037696,10.532995,9.191596,1.6767062,7.903054,1
005b85b1-3faf-4dee-afe3-9a7eaf209a64,9.266764,4.0335803,10.078838,-0.9160226,9.403474,0
005de594-6fab-4df7-aa5b-d5eb391a097f,10.149279,4.3967967,11.2842865,2.5857415,9.573222,0
005e45ef-a743-4990-aac5-98ab5f864d7f,9.810491,4.0965705,8.354284,0.021462405,2.227663,0
005e6c10-5a55-41eb-a4d9-7d828e0fcb3e,8.199896,2.2442763,8.674419,-0.47313705,7.872918,0
005ed399-9841-4b16-a2ca-9d625d592512,10.7515,3.8072634,9.491265,2.8415506,7.1851444,0
005f00ad-f795-4ced-a4b2-13c072c32cc4,10.058381,3.2016797,10.659843,3.8884773,7.4925866,0
00604fd1-0ad3-4ced-a7fc-158777324fbf,9.184892,4.5837045,9.436883,1.1921293,9.900779,0
00608bb4-257c-4fae-a2e5-dc81411a4478,8.2057905,2.020606,8.687616,-0.6336178,8.042746,0
0060c8a1-cf29-4e62-a71e-0159cf344629,9.449958,2.33026,8.85709,3.6944299,7.64424,0
00622767-8e2b-4b16-a7b1-b62daecff4ac,10.675977,5.188909,9.070082,-0.2856064,4.7710443,0
006245f5-d6e6-45eb-a9ab-b271da4c2664,11.298201,6.477639,9.831643,-0.3112572,5.7630243,0
0062ab19-cddc-4815-a6de-2191f27b6a56,9.37942,3.4245844,8.224547,-1.0459328,6.5278697,0
0062d423-317c-4fd3-ad35-bdbfa42298e3,10.670447,4.4770684,9.273001,-0.5411711,6.4662437,0
0062e7b7-6923-42e4-a7ca-b4ca3d7fc773,9.953227,2.9918199,7.9021726,-0.83207035,7.9144783,0
